Month,Fee From Tourism (In Rs. Crore) - 2017#2,(In Rs. Crore) - 2018#2,(In Rs. Crore) - 2019#2,Percentage Change - 2018/17,Percentage Change - 2019/18
January,"15,799","17,755","18,205",12.4,2.5
February,"15,353","17,757","17,959",15.7,1.1
March,"14,667","17,222","16,214",17.4,-5.9
April,"14,260","15,620","17,134",9.5,9.7
May,"12,255","12,752","13,642",4.1,7
June,"12,971","14,398","16,083",11,11.7
July,"14,796","16,976","18,205",14.7,7.2
August,"13,811","16,492","17,867",19.4,8.3
September,"13,840","15,150","16,824",9.5,11
October,"14,213","14,701","17,057",3.4,16
November,"16,528","16,584","19,840",0.3,19.6
December,"19,381","19,474","22,631",0.5,16.2
Total,"1,77,874","1,94,881","2,11,661",9.6,8.6
